PAYMENT_TYPE,GTIN,POS_DESCRIPTION,CATEGORY,BRAND,PURCHASE_COUNT,TOTAL_SALES,TOTAL_UNITS
CREDIT,0,LOTTERY PAYOUTS,null,null,1735,-21578,1735
CREDIT,0,NON TAX GROC,null,null,1734,14776.520000000008,1954
CREDIT,0,CIGS,null,null,1730,12165.240000000002,4458
DEBIT,0,Coffee,null,null,1728,3742.750000000006,1936
CASH,0,PIZZA,null,null,1722,7305.5300000000125,1889
DEBIT,0,GROCNT,null,null,1710,13433.130000000006,2021
CASH,0,ONLINE WIN,null,null,1698,-18092,1698
DEBIT,0,GROC TX,null,null,1693,12186.760000000011,2122
DEBIT,0,GROC NOTAX,null,null,1678,5101.530000000008,1824
DEBIT,0,breakfast,null,null,1665,6170.150000000003,1964
DEBIT,0,CIGS,null,null,1662,13014.660000000009,3545
CREDIT,0,Lottery Paid Out,null,null,1659,-20091.3,1670
CASH,0,E-cig,null,null,1649,47771.68899999979,1649
CASH,0,EDIBLE GROCERY,null,null,1645,5366.630000000003,1778
DEBIT,0,PIZZA,null,null,1628,6350.820000000012,1812
LOTTERY,0,INSTANT LOTTERY,null,null,1625,31769,1625
CASH,0,Fountain Drinks,null,null,1621,3034.440000000005,1696
CASH,0,Licenses,null,null,1615,48155.74,1615
DEBIT,0,DELI OTHER,null,null,1612,9759.550000000008,1865
CASH,0,Fountain,null,null,1601,1803.819999999999,1677
CREDIT,0,GROCERY NON-TAX,null,null,1592,4061.800000000002,1749
DEBIT,0,POWERBALL,null,null,1589,17651.010000000002,1589
DEBIT,0,LOW GROC,null,null,1571,17431.98,1809
CREDIT,0,GROCERY NT,null,null,1570,13104.430000000002,2029
DEBIT,0,INSTANT LOTTERY,null,null,1563,37972.19,1787
CASH,0,LOTTERY WIN,null,null,1561,-34830.37,1562
HOUSE ACCOUNT,0,GROCERY,null,null,1537,10142.460000000006,1854
DEBIT,0,Liquor,null,null,1530,20302.399999999983,1781
CASH,0,SNACK,null,null,1509,4981.870000000005,1728
DEBIT,0,Food,null,null,1504,3567.800000000001,1821
CREDIT,0,misc,null,null,1481,13571.76000000001,2146
CASH,0,Taxable Grocery,null,null,1441,6449.450000000004,1621
DEBIT,0,misc,null,null,1435,14095.33000000001,2449
CASH,0,PUBLICATIONS,null,null,1403,3173.24,1431
DEBIT,0,GENMERCHNT,null,null,1400,8937.78,1597
CREDIT,0,GENMERCHNT,null,null,1385,11202.92,1649
DEBIT,0,271 LOTTO,null,null,1383,48920,1386
DEBIT,0,GEN,null,null,1357,8013.030000000003,1707
CREDIT,0,LOTTO SCRATCH,null,null,1345,133063.53,1370
CASH,0,Lotto Winner,null,null,1328,-21577,1328
DEBIT,0,Grocery Tax,null,null,1322,13681.570000000009,1611
DEBIT,0,Ice,null,null,1300,3708.2000000000044,1583
CREDIT,0,CIG CTN,null,null,1296,58423.74999999982,1481
CREDIT,0,GROC..,null,null,1293,3933.850000000003,1544
CASH,0,GROC H,null,null,1290,10002.910000000009,1435
CASH,0,Mega Millions,null,null,1289,5081,1289
CREDIT,0,Chicken,null,null,1285,9749.970000000005,1300
CASH,0,150 SALTY SNACKS,null,null,1266,2598.0099999999998,1849
CASH,0,Vapes,null,null,1264,23299.17999999993,1320
CREDIT,0,Deli Cold,null,null,1251,9027.020000000002,1306
EBT,0,SNACKS,null,null,1237,3466.8600000000015,1542
CASH,0,HOT DELI,null,null,1218,3084.760000000004,1361
CASH,0,Lottery Winner,null,null,1212,-31733,1212
DEBIT,0,ICE CREAM,null,null,1205,6788.770000000002,1276
HOUSE ACCOUNT,0,VAPE,null,null,1183,26538.479999999996,1219
CASH,0,NT-GROCERY,null,null,1172,3785.600000000003,1300
CREDIT,0,GROCNT,null,null,1165,8404.290000000003,1335
CASH,0,Soda Fountain,null,null,1165,2161.4000000000015,1309
CREDIT,0,EDIBLE GROCERY N,null,null,1164,4434.510000000004,1281
CASH,0,COLD DELI,null,null,1163,1551.0900000000001,1197
CREDIT,0,COUPON,null,null,1138,-2928.560000000002,1145
CASH,0,GROC NO TAX,null,null,1138,10571.960000000003,1227
CREDIT,0,LOTTERY PAYOUT,null,null,1126,-18479,1127
CREDIT,0,GROCERY TAX,null,null,1126,5241.890000000004,1386
CASH,0,SCRATCH,null,null,1113,12620.29,1255
DEBIT,0,HIGH GROC,null,null,1110,11985.300000000007,1602
EBT,0,Hot Food Service,null,null,1100,2836.4699999999993,1781
DEBIT,0,LOTTO PO,null,null,1094,-14761.28,1094
CREDIT,0,LIQUOR,null,null,1089,9657.230000000003,2388
